seed,N_SUB,split,kind,method,tau,metric,value
123,10000,train,timing,proxSGD,0.1,fit_seconds,42.68670503500016
123,10000,train,timing,proxSGD,0.1,n_iter,5000.0
123,10000,train,timing,proxSGD,0.5,fit_seconds,42.68381081700045
123,10000,train,timing,proxSGD,0.5,n_iter,5000.0
123,10000,train,timing,proxSGD,0.9,fit_seconds,43.02589029699993
123,10000,train,timing,proxSGD,0.9,n_iter,5000.0
123,10000,train,kkt,proxSGD,0.1,kkt_intercept_abs,0.012500000000000006
123,10000,train,kkt,proxSGD,0.1,kkt_grad_inf,0.005829999999999992
123,10000,train,kkt,proxSGD,0.1,kkt_grad_l2,0.008128751995846634
123,10000,train,kkt,proxSGD,0.1,frac_near_zero_resid,0.0
123,10000,train,kkt,proxSGD,0.5,kkt_intercept_abs,0.0008
123,10000,train,kkt,proxSGD,0.5,kkt_grad_inf,0.00105
123,10000,train,kkt,proxSGD,0.5,kkt_grad_l2,0.0031577290240948773
123,10000,train,kkt,proxSGD,0.5,frac_near_zero_resid,0.0
123,10000,train,kkt,proxSGD,0.9,kkt_intercept_abs,0.011099999999999994
123,10000,train,kkt,proxSGD,0.9,kkt_grad_inf,0.005129999999999973
123,10000,train,kkt,proxSGD,0.9,kkt_grad_l2,0.006751838021862397
123,10000,train,kkt,proxSGD,0.9,frac_near_zero_resid,0.0
123,10000,train,metric,proxSGD,0.1,pinball,0.053418286040626865
123,10000,train,metric,proxSGD,0.1,rmse,0.5736917936320051
123,10000,test,metric,proxSGD,0.1,pinball,0.06683560159678
123,10000,test,metric,proxSGD,0.1,rmse,0.6015973620448593
123,10000,train,metric,proxSGD,0.5,pinball,0.1278407178844807
123,10000,train,metric,proxSGD,0.5,rmse,0.35643251917230695
123,10000,test,metric,proxSGD,0.5,pinball,0.14393302357890586
123,10000,test,metric,proxSGD,0.5,rmse,0.38902634021164856
123,10000,train,metric,proxSGD,0.9,pinball,0.05565753721885526
