seed,N_SUB,split,kind,method,tau,metric,value,method_label
123,10000,train,timing,sklearn_LP,0.1,fit_seconds,10.212599448999754,sklearn_LP
123,10000,train,timing,sklearn_LP,0.1,n_iter,12968.0,sklearn_LP
123,10000,train,timing,sklearn_LP,0.5,fit_seconds,12.149267014000088,sklearn_LP
123,10000,train,timing,sklearn_LP,0.5,n_iter,16848.0,sklearn_LP
123,10000,train,timing,sklearn_LP,0.9,fit_seconds,10.34089020800002,sklearn_LP
123,10000,train,timing,sklearn_LP,0.9,n_iter,12781.0,sklearn_LP
123,10000,train,kkt,sklearn_LP,0.1,kkt_intercept_abs,0.02453,sklearn_LP
123,10000,train,kkt,sklearn_LP,0.1,kkt_grad_inf,0.0114299999999999,sklearn_LP
123,10000,train,kkt,sklearn_LP,0.1,kkt_grad_l2,0.0132635495958566,sklearn_LP
123,10000,train,kkt,sklearn_LP,0.1,frac_near_zero_resid,0.0847,sklearn_LP
123,10000,train,kkt,sklearn_LP,0.5,kkt_intercept_abs,0.00085,sklearn_LP
123,10000,train,kkt,sklearn_LP,0.5,kkt_grad_inf,0.00085,sklearn_LP
123,10000,train,kkt,sklearn_LP,0.5,kkt_grad_l2,0.0019043016457279,sklearn_LP
123,10000,train,kkt,sklearn_LP,0.5,frac_near_zero_resid,0.0847,sklearn_LP
123,10000,train,kkt,sklearn_LP,0.9,kkt_intercept_abs,0.0231199999999999,sklearn_LP
123,10000,train,kkt,sklearn_LP,0.9,kkt_grad_inf,0.0105299999999999,sklearn_LP
123,10000,train,kkt,sklearn_LP,0.9,kkt_grad_l2,0.0122676214783014,sklearn_LP
123,10000,train,kkt,sklearn_LP,0.9,frac_near_zero_resid,0.0848,sklearn_LP
123,10000,train,metric,sklearn_LP,0.1,pinball,0.0527151715371988,sklearn_LP
123,10000,train,metric,sklearn_LP,0.1,rmse,0.5709780618421503,sklearn_LP
123,10000,test,metric,sklearn_LP,0.1,pinball,0.0679326722663139,sklearn_LP
123,10000,test,metric,sklearn_LP,0.1,rmse,0.5908180463169065,sklearn_LP
123,10000,train,metric,sklearn_LP,0.5,pinball,0.1274576714853162,sklearn_LP
123,10000,train,metric,sklearn_LP,0.5,rmse,0.3599386883886689,sklearn_LP
123,10000,test,metric,sklearn_LP,0.5,pinball,0.1449477558016647,sklearn_LP
123,10000,test,metric,sklearn_LP,0.5,rmse,0.3918610446152797,sklearn_LP
123,10000,train,metric,sklearn_LP,0.9,pinball,0.0550172252962847,sklearn_LP
123,10000,train,metric,sklearn_LP,0.9,rmse,0.5685608148232292,sklearn_LP
123,10000,test,metric,sklearn_LP,0.9,pinball,0.0741221818903447,sklearn_LP
123,10000,test,metric,sklearn_LP,0.9,rmse,0.5937107349898798,sklearn_LP
123,10000,test,pi,sklearn_LP,"PI(0.1,0.9)",coverage,0.72896,sklearn_LP
123,10000,test,pi,sklearn_LP,"PI(0.1,0.9)",mean_width,0.8235958401537604,sklearn_LP
123,10000,test,pi,sklearn_LP,"PI(0.1,0.9)",winkler,1.4205485415665866,sklearn_LP
123,10000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_y__pearson_r,0.1778055677203248,sklearn_LP
123,10000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_y__pearson_p,0.0,sklearn_LP
123,10000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_y__spearman_r,0.2778769495702652,sklearn_LP
123,10000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_y__spearman_p,0.0,sklearn_LP
123,10000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_y__mean_width,0.8235958401537604,sklearn_LP
123,10000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_q50hat__pearson_r,0.2938156237595225,sklearn_LP
123,10000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_q50hat__pearson_p,0.0,sklearn_LP
123,10000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_q50hat__spearman_r,0.4145882705388077,sklearn_LP
123,10000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_q50hat__spearman_p,0.0,sklearn_LP
123,10000,test,corr,sklearn_LP,"PI(0.1,0.9)",width_vs_q50hat__mean_width,0.8235958401537604,sklearn_LP
123,25000,train,timing,sklearn_LP,0.1,fit_seconds,60.342951309,sklearn_LP
123,25000,train,timing,sklearn_LP,0.1,n_iter,32561.0,sklearn_LP
123,25000,train,timing,sklearn_LP,0.5,fit_seconds,70.73485767900002,sklearn_LP
123,25000,train,timing,sklearn_LP,0.5,n_iter,41972.0,sklearn_LP
123,25000,train,timing,sklearn_LP,0.9,fit_seconds,56.22974987800035,sklearn_LP
123,25000,train,timing,sklearn_LP,0.9,n_iter,32422.0,sklearn_LP
123,25000,train,kkt,sklearn_LP,0.1,kkt_intercept_abs,0.011852,sklearn_LP
123,25000,train,kkt,sklearn_LP,0.1,kkt_grad_inf,0.0051199999999999,sklearn_LP
123,25000,train,kkt,sklearn_LP,0.1,kkt_grad_l2,0.0060786959204279,sklearn_LP
123,25000,train,kkt,sklearn_LP,0.1,frac_near_zero_resid,0.03748,sklearn_LP
123,25000,train,kkt,sklearn_LP,0.5,kkt_intercept_abs,6e-05,sklearn_LP
123,25000,train,kkt,sklearn_LP,0.5,kkt_grad_inf,0.0010437739159185,sklearn_LP
123,25000,train,kkt,sklearn_LP,0.5,kkt_grad_l2,0.0013879331254492,sklearn_LP
123,25000,train,kkt,sklearn_LP,0.5,frac_near_zero_resid,0.03732,sklearn_LP
123,25000,train,kkt,sklearn_LP,0.9,kkt_intercept_abs,0.0118239999999999,sklearn_LP
123,25000,train,kkt,sklearn_LP,0.9,kkt_grad_inf,0.0054599999999999,sklearn_LP
123,25000,train,kkt,sklearn_LP,0.9,kkt_grad_l2,0.0062436279537882,sklearn_LP
123,25000,train,kkt,sklearn_LP,0.9,frac_near_zero_resid,0.03736,sklearn_LP
123,25000,train,metric,sklearn_LP,0.1,pinball,0.0560539510023594,sklearn_LP
123,25000,train,metric,sklearn_LP,0.1,rmse,0.5847524521298156,sklearn_LP
123,25000,test,metric,sklearn_LP,0.1,pinball,0.0641115421867532,sklearn_LP
123,25000,test,metric,sklearn_LP,0.1,rmse,0.5993612198336981,sklearn_LP
123,25000,train,metric,sklearn_LP,0.5,pinball,0.1322394120577929,sklearn_LP
123,25000,train,metric,sklearn_LP,0.5,rmse,0.3643346430308279,sklearn_LP
123,25000,test,metric,sklearn_LP,0.5,pinball,0.1413288456795001,sklearn_LP
123,25000,test,metric,sklearn_LP,0.5,rmse,0.3850023087191049,sklearn_LP
