seed,N_SUB,split,kind,method,tau,metric,value
123,10000,train,timing,IRLS,0.1,fit_seconds,1023.1081414150003
123,10000,train,timing,IRLS,0.1,n_iter,1676.0
123,10000,train,timing,IRLS,0.5,fit_seconds,420.4176727949998
123,10000,train,timing,IRLS,0.5,n_iter,689.0
123,10000,train,timing,IRLS,0.9,fit_seconds,594.2333871999999
123,10000,train,timing,IRLS,0.9,n_iter,976.0
123,10000,train,kkt,IRLS,0.1,kkt_intercept_abs,0.03337999999999999
123,10000,train,kkt,IRLS,0.1,kkt_grad_inf,0.014860000000000071
123,10000,train,kkt,IRLS,0.1,kkt_grad_l2,0.017323177810340425
123,10000,train,kkt,IRLS,0.1,frac_near_zero_resid,0.0138
123,10000,train,kkt,IRLS,0.5,kkt_intercept_abs,0.0001
123,10000,train,kkt,IRLS,0.5,kkt_grad_inf,0.00025845367611017025
123,10000,train,kkt,IRLS,0.5,kkt_grad_l2,0.0008486037395493063
123,10000,train,kkt,IRLS,0.5,frac_near_zero_resid,0.0354
123,10000,train,kkt,IRLS,0.9,kkt_intercept_abs,0.033260000000000005
123,10000,train,kkt,IRLS,0.9,kkt_grad_inf,0.014580000000000055
123,10000,train,kkt,IRLS,0.9,kkt_grad_l2,0.017083146425567727
123,10000,train,kkt,IRLS,0.9,frac_near_zero_resid,0.0146
123,10000,train,metric,IRLS,0.1,pinball,0.05271518207625736
123,10000,train,metric,IRLS,0.1,rmse,0.571113834797978
123,10000,test,metric,IRLS,0.1,pinball,0.06783548732786787
123,10000,test,metric,IRLS,0.1,rmse,0.5907297236786244
123,10000,train,metric,IRLS,0.5,pinball,0.12745767364831642
123,10000,train,metric,IRLS,0.5,rmse,0.3567793996006397
123,10000,test,metric,IRLS,0.5,pinball,0.14422112690619374
123,10000,test,metric,IRLS,0.5,rmse,0.38956736785623386
123,10000,train,metric,IRLS,0.9,pinball,0.055017235484212564
123,10000,train,metric,IRLS,0.9,rmse,0.568622498810164
123,10000,test,metric,IRLS,0.9,pinball,0.07412691215988783
123,10000,test,metric,IRLS,0.9,rmse,0.5938815292108387
123,10000,test,pi,IRLS,"PI(0.1,0.9)",coverage,0.72958
123,10000,test,pi,IRLS,"PI(0.1,0.9)",mean_width,0.8240887387165111
123,10000,test,pi,IRLS,"PI(0.1,0.9)",winkler,1.4196239948775573
123,10000,test,corr,IRLS,"PI(0.1,0.9)",width_vs_y__pearson_r,0.17799587371580966
123,10000,test,corr,IRLS,"PI(0.1,0.9)",width_vs_y__pearson_p,0.0
123,10000,test,corr,IRLS,"PI(0.1,0.9)",width_vs_y__spearman_r,0.2776664519615868
123,10000,test,corr,IRLS,"PI(0.1,0.9)",width_vs_y__spearman_p,0.0
123,10000,test,corr,IRLS,"PI(0.1,0.9)",width_vs_y__mean_width,0.8240887387165111
123,10000,test,corr,IRLS,"PI(0.1,0.9)",width_vs_q50hat__pearson_r,0.3011163943775562
123,10000,test,corr,IRLS,"PI(0.1,0.9)",width_vs_q50hat__pearson_p,0.0
123,10000,test,corr,IRLS,"PI(0.1,0.9)",width_vs_q50hat__spearman_r,0.4213934547888022
123,10000,test,corr,IRLS,"PI(0.1,0.9)",width_vs_q50hat__spearman_p,0.0
123,10000,test,corr,IRLS,"PI(0.1,0.9)",width_vs_q50hat__mean_width,0.8240887387165111
123,25000,train,timing,IRLS,0.1,fit_seconds,1090.0921710330003
123,25000,train,timing,IRLS,0.1,n_iter,1254.0
123,25000,train,timing,IRLS,0.5,fit_seconds,702.0956828810013
123,25000,train,timing,IRLS,0.5,n_iter,793.0
123,25000,train,timing,IRLS,0.9,fit_seconds,1248.955192427
123,25000,train,timing,IRLS,0.9,n_iter,1391.0
123,25000,train,kkt,IRLS,0.1,kkt_intercept_abs,0.014347999999999993
123,25000,train,kkt,IRLS,0.1,kkt_grad_inf,0.0059240000000000135
123,25000,train,kkt,IRLS,0.1,kkt_grad_l2,0.007765722978267203
123,25000,train,kkt,IRLS,0.1,frac_near_zero_resid,0.00548
123,25000,train,kkt,IRLS,0.5,kkt_intercept_abs,0.00018
123,25000,train,kkt,IRLS,0.5,kkt_grad_inf,0.00012632989578579654
123,25000,train,kkt,IRLS,0.5,kkt_grad_l2,0.0003400962120978561
123,25000,train,kkt,IRLS,0.5,frac_near_zero_resid,0.0158
123,25000,train,kkt,IRLS,0.9,kkt_intercept_abs,0.014284000000000005
123,25000,train,kkt,IRLS,0.9,kkt_grad_inf,0.0062480000000000304
123,25000,train,kkt,IRLS,0.9,kkt_grad_l2,0.007213860977996943
123,25000,train,kkt,IRLS,0.9,frac_near_zero_resid,0.00484
123,25000,train,metric,IRLS,0.1,pinball,0.05605395584304117
123,25000,train,metric,IRLS,0.1,rmse,0.5849531818793774
123,25000,test,metric,IRLS,0.1,pinball,0.06410901271035804
123,25000,test,metric,IRLS,0.1,rmse,0.5995534952672626
123,25000,train,metric,IRLS,0.5,pinball,0.1322394128524142
123,25000,train,metric,IRLS,0.5,rmse,0.36303500280947093
123,25000,test,metric,IRLS,0.5,pinball,0.14079651138091348
123,25000,test,metric,IRLS,0.5,rmse,0.382989679403372
123,25000,train,metric,IRLS,0.9,pinball,0.059890624926655756
123,25000,train,metric,IRLS,0.9,rmse,0.5796795581814871
123,25000,test,metric,IRLS,0.9,pinball,0.06771392500825733
123,25000,test,metric,IRLS,0.9,rmse,0.592302045650868
123,25000,test,pi,IRLS,"PI(0.1,0.9)",coverage,0.76782
123,25000,test,pi,IRLS,"PI(0.1,0.9)",mean_width,0.8571579780337766
123,25000,test,pi,IRLS,"PI(0.1,0.9)",winkler,1.3182293771861537
123,25000,test,corr,IRLS,"PI(0.1,0.9)",width_vs_y__pearson_r,0.26340890236985853
123,25000,test,corr,IRLS,"PI(0.1,0.9)",width_vs_y__pearson_p,0.0
123,25000,test,corr,IRLS,"PI(0.1,0.9)",width_vs_y__spearman_r,0.3854887413854265
123,25000,test,corr,IRLS,"PI(0.1,0.9)",width_vs_y__spearman_p,0.0
123,25000,test,corr,IRLS,"PI(0.1,0.9)",width_vs_y__mean_width,0.8571579780337766
123,25000,test,corr,IRLS,"PI(0.1,0.9)",width_vs_q50hat__pearson_r,0.4045036960820554
123,25000,test,corr,IRLS,"PI(0.1,0.9)",width_vs_q50hat__pearson_p,0.0
123,25000,test,corr,IRLS,"PI(0.1,0.9)",width_vs_q50hat__spearman_r,0.5507077218884163
123,25000,test,corr,IRLS,"PI(0.1,0.9)",width_vs_q50hat__spearman_p,0.0
123,25000,test,corr,IRLS,"PI(0.1,0.9)",width_vs_q50hat__mean_width,0.8571579780337766
123,50000,train,timing,IRLS,0.1,fit_seconds,673.1369364070015
123,50000,train,timing,IRLS,0.1,n_iter,495.0
123,50000,train,timing,IRLS,0.5,fit_seconds,957.5784819069995
123,50000,train,timing,IRLS,0.5,n_iter,723.0
123,50000,train,timing,IRLS,0.9,fit_seconds,2031.9391324869994
123,50000,train,timing,IRLS,0.9,n_iter,1618.0
123,50000,train,kkt,IRLS,0.1,kkt_intercept_abs,0.007523999999999995
123,50000,train,kkt,IRLS,0.1,kkt_grad_inf,0.003196000000000016
123,50000,train,kkt,IRLS,0.1,kkt_grad_l2,0.003764350583595144
123,50000,train,kkt,IRLS,0.1,frac_near_zero_resid,0.00224
123,50000,train,kkt,IRLS,0.5,kkt_intercept_abs,0.0001
123,50000,train,kkt,IRLS,0.5,kkt_grad_inf,0.00023060915609717062
123,50000,train,kkt,IRLS,0.5,kkt_grad_l2,0.0003749922114947375
123,50000,train,kkt,IRLS,0.5,frac_near_zero_resid,0.00768
123,50000,train,kkt,IRLS,0.9,kkt_intercept_abs,0.007500000000000006
