seed,N_SUB,split,kind,method,tau,metric,value
123,10000,train,timing,sklearn_LP,0.1,fit_seconds,10.212599448999754
123,10000,train,timing,sklearn_LP,0.1,n_iter,12968.0
123,10000,train,timing,sklearn_LP,0.5,fit_seconds,12.149267014000088
123,10000,train,timing,sklearn_LP,0.5,n_iter,16848.0
123,10000,train,timing,sklearn_LP,0.9,fit_seconds,10.340890208000019
123,10000,train,timing,sklearn_LP,0.9,n_iter,12781.0
123,10000,train,kkt,sklearn_LP,0.1,kkt_intercept_abs,0.024530000000000003
123,10000,train,kkt,sklearn_LP,0.1,kkt_grad_inf,0.011429999999999968
123,10000,train,kkt,sklearn_LP,0.1,kkt_grad_l2,0.013263549595856643
123,10000,train,kkt,sklearn_LP,0.1,frac_near_zero_resid,0.0847
123,10000,train,kkt,sklearn_LP,0.5,kkt_intercept_abs,0.00085
123,10000,train,kkt,sklearn_LP,0.5,kkt_grad_inf,0.00085
123,10000,train,kkt,sklearn_LP,0.5,kkt_grad_l2,0.001904301645727947
123,10000,train,kkt,sklearn_LP,0.5,frac_near_zero_resid,0.0847
123,10000,train,kkt,sklearn_LP,0.9,kkt_intercept_abs,0.02311999999999999
123,10000,train,kkt,sklearn_LP,0.9,kkt_grad_inf,0.010529999999999958
123,10000,train,kkt,sklearn_LP,0.9,kkt_grad_l2,0.012267621478301462
123,10000,train,kkt,sklearn_LP,0.9,frac_near_zero_resid,0.0848
123,10000,train,metric,sklearn_LP,0.1,pinball,0.05271517153719887
123,10000,train,metric,sklearn_LP,0.1,rmse,0.5709780618421503
123,10000,test,metric,sklearn_LP,0.1,pinball,0.06793267226631391
123,10000,test,metric,sklearn_LP,0.1,rmse,0.5908180463169065
123,10000,train,metric,sklearn_LP,0.5,pinball,0.12745767148531625
123,10000,train,metric,sklearn_LP,0.5,rmse,0.3599386883886689
123,10000,test,metric,sklearn_LP,0.5,pinball,0.14494775580166475
123,10000,test,metric,sklearn_LP,0.5,rmse,0.39186104461527976
123,10000,train,metric,sklearn_LP,0.9,pinball,0.05501722529628471
123,10000,train,metric,sklearn_LP,0.9,rmse,0.5685608148232292
123,10000,test,metric,sklearn_LP,0.9,pinball,0.07412218189034478
123,10000,test,metric,sklearn_LP,0.9,rmse,0.5937107349898798
123,10000,test,pi,sklearn_LP,"PI(0.1,0.9)",coverage,0.72896
123,10000,test,pi,sklearn_LP,"PI(0.1,0.9)",mean_width,0.8235958401537604
123,10000,test,pi,sklearn_LP,"PI(0.1,0.9)",winkler,1.4205485415665866
