,experiment,experiment_group,seed,method,lower_tau,upper_tau,nominal_coverage,n,n_train,n_test,d,rho,covariance,noise_dist,sigma,heteroskedastic,hetero_strength,t_df,sparsity,lp_alpha,l1,l2,base_lr,batch_size,max_iter,fit_seconds_lower,fit_seconds_upper,fit_seconds,n_iter_lower,n_iter_upper,lower_test_pinball,upper_test_pinball,mean_test_pinball,lower_train_kkt_grad_inf,upper_train_kkt_grad_inf,coverage,mean_width,crossing_rate,winkler
0,Heteroskedastic,hyperparameter_robustness,0,proxsgd,0.025,0.975,0.95,10000,9000,1000,100,0.99,toeplitz,gaussian,1.0,True,1.0,3.0,0.2,0.0,0.0,0.0,0.001,32,5000,1.31533507200038,1.3056045180001092,2.6209395900004893,5000,5000,0.3083573334679194,0.3035512273098767,0.30595428038889805,0.016597300700030123,0.015434767372807641,0.959,19.91535504445358,0.0,24.476342431111828
1,Heteroskedastic,hyperparameter_robustness,1,proxsgd,0.025,0.975,0.95,10000,9000,1000,100,0.99,toeplitz,gaussian,1.0,True,1.0,3.0,0.2,0.0,0.0,0.0,0.001,32,5000,1.2805342359988572,1.329633561999799,2.610167797998656,5000,5000,0.18447598845909136,0.22494513390379403,0.2047105611814427,0.007517996840768212,0.008312650365488396,0.96,13.047890525866526,0.0,16.376844894515408
2,Heteroskedastic,hyperparameter_robustness,2,proxsgd,0.025,0.975,0.95,10000,9000,1000,100,0.99,toeplitz,gaussian,1.0,True,1.0,3.0,0.2,0.0,0.0,0.0,0.001,32,5000,1.3298363179983426,1.3363478189985472,2.6661841369968897,5000,5000,0.2967991079081896,0.2682470204067332,0.2825230641574614,0.0067233461182849156,0.007960692443141218,0.969,19.08179921532877,0.0,22.6018451325969
3,Heteroskedastic,hyperparameter_robustness,3,proxsgd,0.025,0.975,0.95,10000,9000,1000,100,0.99,toeplitz,gaussian,1.0,True,1.0,3.0,0.2,0.0,0.0,0.0,0.001,32,5000,1.9887819369996578,2.0634228930011886,4.052204830000846,5000,5000,0.2746184063776568,0.26662836132747336,0.27062338385256507,0.011401304318865088,0.011482739598613175,0.964,17.773073151499126,0.0,21.649870708205196
4,Heteroskedastic,hyperparameter_robustness,4,proxsgd,0.025,0.975,0.95,10000,9000,1000,100,0.99,toeplitz,gaussian,1.0,True,1.0,3.0,0.2,0.0,0.0,0.0,0.001,32,5000,1.425418239999999,1.2870991640011198,2.712517404001119,5000,5000,0.42884509309912905,0.38887450605811275,0.4088597995786209,0.017090280466908338,0.01602262546978383,0.974,28.4182838978884,0.0,32.70878396628966
5,Heteroskedastic,hyperparameter_robustness,0,proxsgd,0.025,0.975,0.95,10000,9000,1000,100,0.99,toeplitz,gaussian,1.0,True,1.0,3.0,0.2,0.0,0.0,0.0,0.001,64,5000,1.3563048460000573,1.3120111759999418,2.668316021999999,5000,5000,0.3065003065240993,0.3011186267841769,0.3038094666541381,0.014587384162051098,0.012648151828750136,0.959,19.894963267132095,0.0,24.304757332331036
6,Heteroskedastic,hyperparameter_robustness,1,proxsgd,0.025,0.975,0.95,10000,9000,1000,100,0.99,toeplitz,gaussian,1.0,True,1.0,3.0,0.2,0.0,0.0,0.0,0.001,64,5000,1.3908621509999648,1.4171370340009162,2.807999185000881,5000,5000,0.18371106117880953,0.2220580731891762,0.20288456718399286,0.006513684735958534,0.0070652659994912825,0.96,13.02683470547959,0.0,16.23076537471942
7,Heteroskedastic,hyperparameter_robustness,2,proxsgd,0.025,0.975,0.95,10000,9000,1000,100,0.99,toeplitz,gaussian,1.0,True,1.0,3.0,0.2,0.0,0.0,0.0,0.001,64,5000,1.3179041879993747,1.834246484000687,3.1521506720000616,5000,5000,0.29298492053330777,0.26744396254546554,0.2802144415393867,0.004991042239309104,0.007241493929473833,0.971,19.049000073321235,0.0,22.41715532315092
8,Heteroskedastic,hyperparameter_robustness,3,proxsgd,0.025,0.975,0.95,10000,9000,1000,100,0.99,toeplitz,gaussian,1.0,True,1.0,3.0,0.2,0.0,0.0,0.0,0.001,64,5000,1.9871676239999942,1.8942467710003257,3.88141439500032,5000,5000,0.2713558376662338,0.26496584121385036,0.2681608394400421,0.009780627700247388,0.009662840478620701,0.965,17.74625227139611,0.0,21.452867155203357
9,Heteroskedastic,hyperparameter_robustness,4,proxsgd,0.025,0.975,0.95,10000,9000,1000,100,0.99,toeplitz,gaussian,1.0,True,1.0,3.0,0.2,0.0,0.0,0.0,0.001,64,5000,1.3009692390005512,1.3793108150002809,2.680280054000832,5000,5000,0.42106243376656954,0.38662519767421094,0.40384381572039024,0.014704574884672505,0.013898541312151213,0.977,28.393613973440587,0.0,32.3075052576312
