,experiment,experiment_group,seed,method,lower_tau,upper_tau,nominal_coverage,n,n_train,n_test,d,rho,covariance,noise_dist,sigma,heteroskedastic,hetero_strength,t_df,sparsity,lp_alpha,l1,l2,base_lr,batch_size,max_iter,fit_seconds_lower,fit_seconds_upper,fit_seconds,n_iter_lower,n_iter_upper,lower_test_pinball,upper_test_pinball,mean_test_pinball,lower_train_kkt_grad_inf,upper_train_kkt_grad_inf,coverage,mean_width,crossing_rate,winkler
0,Heteroskedastic,,0,lp,0.025,0.975,0.95,10000,9000,1000,100,0.99,toeplitz,gaussian,1.0,True,1.0,3.0,0.2,0.0,0.0,0.0,0.5,256,5000,47.81005928299783,46.887117742000555,94.69717702499838,9850,9929,0.2915020090088629,0.2931978688094611,0.292349938909162,0.0006586655661222975,0.0007091555503240106,0.924,15.439396286242994,0.0,23.387995112732945
1,Heteroskedastic,,1,lp,0.025,0.975,0.95,10000,9000,1000,100,0.99,toeplitz,gaussian,1.0,True,1.0,3.0,0.2,0.0,0.0,0.0,0.5,256,5000,49.38751501200022,50.27450891099943,99.66202392299965,9843,9930,0.18170440817282332,0.19613982345150094,0.18892211581216212,0.001341097750711697,0.0007389287454556191,0.929,10.585097681421368,0.0,15.113769264972962
2,Heteroskedastic,,2,lp,0.025,0.975,0.95,10000,9000,1000,100,0.99,toeplitz,gaussian,1.0,True,1.0,3.0,0.2,0.0,0.0,0.0,0.5,256,5000,49.83472660100233,47.730990110001585,97.56571671100392,9908,9858,0.29175698206677536,0.2530768899522916,0.2724169360095335,0.0014439673949274414,0.003057544657600751,0.937,15.340743190965048,0.0,21.793354880762664
3,Heteroskedastic,,3,lp,0.025,0.975,0.95,10000,9000,1000,100,0.99,toeplitz,gaussian,1.0,True,1.0,3.0,0.2,0.0,0.0,0.0,0.5,256,5000,45.893617440000526,47.63739828299731,93.53101572299784,9890,9896,0.2562055109598771,0.2519304143830684,0.25406796267147275,0.002391183607830077,0.0020800591440916687,0.946,14.3266940212191,0.0,20.32543701371781
4,Heteroskedastic,,4,lp,0.025,0.975,0.95,10000,9000,1000,100,0.99,toeplitz,gaussian,1.0,True,1.0,3.0,0.2,0.0,0.0,0.0,0.5,256,5000,48.919270352998865,49.277483847999974,98.19675420099884,9931,9896,0.40039578012246874,0.36790909091874974,0.38415243552060924,0.0018162878859158444,0.0007329879952917952,0.941,21.636242095736232,0.0,30.732194841648717
5,Heavy-tailed,,0,lp,0.025,0.975,0.95,10000,9000,1000,100,0.0,identity,student_t,1.0,False,0.5,3.0,0.2,0.0,0.0,0.0,0.5,256,5000,45.81314160299735,47.99542997499884,93.80857157799619,9778,9804,0.13046498677254495,0.1419777136595222,0.13622135021603357,0.00196837806085272,0.0017730985250690313,0.927,6.514745832706923,0.0,10.89770801728268
6,Heavy-tailed,,1,lp,0.025,0.975,0.95,10000,9000,1000,100,0.0,identity,student_t,1.0,False,0.5,3.0,0.2,0.0,0.0,0.0,0.5,256,5000,47.95170025200059,45.74859439799911,93.7002946499997,9769,9795,0.12048209677811536,0.12187875895276815,0.12118042786544175,0.001952749536676271,0.001551951177305842,0.942,6.441960716441128,0.0,9.694434229235332
7,Heavy-tailed,,2,lp,0.025,0.975,0.95,10000,9000,1000,100,0.0,identity,student_t,1.0,False,0.5,3.0,0.2,0.0,0.0,0.0,0.5,256,5000,46.028181576999486,50.0314039670011,96.05958554400058,9755,9853,0.1420985574206181,0.15322545865148632,0.14766200803605223,0.0015973000344861959,0.002453196669144974,0.921,6.42868262208653,0.0,11.81296064288417
8,Heavy-tailed,,3,lp,0.025,0.975,0.95,10000,9000,1000,100,0.0,identity,student_t,1.0,False,0.5,3.0,0.2,0.0,0.0,0.0,0.5,256,5000,48.74305336999896,48.933430289998796,97.67648365999776,9811,9874,0.10202077068413797,0.1222414119740598,0.11213109132909888,0.0015902284622328362,0.0018384029289890108,0.952,6.528004308914563,0.0,8.970487306327907
9,Heavy-tailed,,4,lp,0.025,0.975,0.95,10000,9000,1000,100,0.0,identity,student_t,1.0,False,0.5,3.0,0.2,0.0,0.0,0.0,0.5,256,5000,48.350392300999374,46.134564987001795,94.48495728800117,9810,9865,0.13889490062713342,0.11716906512249936,0.12803198287481637,0.0020546688985004025,0.0019872474966558936,0.939,6.262021550431239,0.0,10.242558629985306
